DATE,REGION,End time,AREA,OBSEVER,RECORDER,SPECIES,NO.,DISTANCE(M),HABITAT,ADTM,ADTF,JUV,CHICKS,ID OF FOCAL ANIMAL,START TIME,END TIME,GPSE,GPSN,DIST. TO OSTRICH,DIST. TO MANYATTA,PRENSENCE OF PREDATOR,FEEDING ,RESTING,PREENING,INCUBATING,AGRESSION,VIGILANT,MOVING,MOVING OUT OF SIGHT,RUNNING,DISPLAY,TOTAL,DST. TO THE OSDT,DIST. TO TEST PERSON,FID,Season
18/7/2014,MEIBEI,6:30:00,NG,PETER,SIMON,,,,2,1,3,0,0,ADM,11:14AM,11:34AM,58553,3710797,30,45,,0,13,0,2,0,7,0,0,0,0,20,130,109,21,Dry
18/7/2014,MEIBEI,6:30:00,NG,PETER,SIMON,,,,2,1,3,0,0,ADM,11:36AM,12:04PM,58553,3710797,130,30,,0,13,0,0,0,2,0,0,0,0,20,130,109,21,Dry
23/7/2014,MEIBEI,6:30:00,NKA,PETER,SIMON,,,,2,1,1,0,0,ADF,12:35PM,12:50PM,51953,3719294,53,50,,0,11,0,0,2,0,3,2,3,0,20,,,,Dry
27/7/2014,MEIBEI,6:30:00,SNR,PETER,SIMON,EL,9,15,4,3,3,0,0,ADM,12:14PM,12:43PM,51953,3719295,53,50,,0,12,0,0,0,0,5,0,0,0,20,,,,Dry
27/7/2014,MEIBEI,6:30:00,SNR,SIMON,PETER,EL,9,30,4,3,3,0,0,ADF,11:38AM,11:53AM,55938,3715040,90,1000,,0,11,0,2,0,0,1,0,0,0,20,,,,Dry
27/7/2014,MEIBEI,7:06:00,SNR,TEDDY,SIMON,,,,3,1,0,0,0,ADF,11:30AM,11:501M,35548,3734993,20,30,,2,6,2,4,0,2,9,0,0,0,20,>200,58,81,Dry
27/72014,MEIBEI,7:06:00,SNR,SIMON,MUTIGA,EL,9,50,4,3,3,0,0,ADM,11:09AM,11:29AM,35548,3736493,40,35,,0,19,0,7,0,4,8,0,0,0,20,,,,Dry
29/7/2014,MEIBEI,7:06:00,BAR,PETER,BEN,SHOATS,34,30,,1,2,0,0,ADM,10:07AM,10:27AM,34816,3732953,107,100,,0,18,3,1,1,7,3,0,0,0,20,103,6,97,Dry
29/7/2014,MEIBEI,7:06:00,NG,PETER,BEN,SHOATS,34,28,3,2,0,0,0,ADM,11:09AM,11:29AM,35548,3736493,120,200,,7,14,0,1,0,1,6,0,0,0,20,>200,32,45,Dry
29/7/2014,MEIBEI,7:06:00,BAR,PETER,BEN,SHOATS,20,149,3,0,1,0,0,ADF,2:35PM,3:15PM,39263,3777974,88,70,,0,16,1,0,0,1,11,0,0,0,20,,,,Dry
,MEIBEI,7:06:00,,,,CA,1,88,,,,,0,ADF,2:30PM,2:50PM,48688,3707707,88,68,,0,19,2,1,0,0,6,0,0,0,20,,,,Dry
29/7/2014,WESTGATE,7:20:00,NG,BEN,PETER,,,,3,1,0,0,0,ADF,12:07PM,12:27PM,50673,3704889,74,98,,2,14,0,0,0,1,10,0,0,0,20,74,34,40,Dry
30/7/2013,WESTGATE,7:20:00,NG,SIMON,PETER,GG,4,230,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,Dry
11/9/2014,WESTGATE,7:20:00,NKA,PETER,SIMON,DO,17,220,3,2,2,0,0,ADM,2:05PM,2:25PM,47533,3708182,96,90,,1,11,1,0,0,2,7,0,0,0,20,96,58,38,Dry
,WESTGATE,7:20:00,,,,SHOATS,120,260,,,,,0,ADM,11:12AM,11:32PM,47263,3720389,93,400,,0,12,0,0,0,2,5,,3,0,20,93,12,81,Dry
11/9/2014,WESTGATE,7:20:00,NKA,SIMON,PETER,CA,1,48,3,1,1,0,0,ADF,2:14PM,15:04PM,58722,3710530,92,254,,3,11,3,0,0,0,6,0,0,0,20,92,59,33,Dry
