Region,Season,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Weather_Condition
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,3,1,2,,,3,H,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,1,1,,,,2,H,Dry
WESTGATE,June- Dry,1,1,,,,3,H,Dry
WESTGATE,June- Dry,,,,,,,,Dry
WESTGATE,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,9,3,6,,,3,H,Dry
MEIBEI,June- Dry,1,1,,,,3,H,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
MEIBEI,June- Dry,,,,,,,,Dry
SNR,June- Dry,2,,2,,,2,H,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,9,1,8,,,3,H,Dry
SNR,June- Dry,3,,3,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,,,,,,,,Dry
SNR,June- Dry,4,1,3,,,,,Dry
MEIBEI,July-Dry,1,1,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,6,3,3,,,3,H,Dry
MEIBEI,July-Dry,3,1,2,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,1,,1,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,1,,1,,,3,H,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,7,,7,,,3,H,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,,,,,,,,Dry
WESTGATE,July-Dry,6,2,1,3,,2,PA,Dry
WESTGATE,July-Dry,6,3,3,,,,,Dry
WESTGATE,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,2,,2,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
MEIBEI,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
SNR,July-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,3,1,2,,,3,H,Dry
MEIBEI,Sept-Dry,3,1,2,,,3,H,Dry
SNR,Sept-Dry,3,,3,,,3,H,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,5,1,4,,,3,H,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,3,2,1,,,3,,Dry
MEIBEI,Sept-Dry,7,2,5,,,3,H,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
WESTGATE,Sept-Dry,1,,1,,,4,H,Dry
WESTGATE,Sept-Dry,,,,,,,,Dry
WESTGATE,Sept-Dry,1,1,,,,4,H,Dry
WESTGATE,Sept-Dry,,,,,,,,Dry
WESTGATE,Sept-Dry,,,,,,,,Dry
WESTGATE,Sept-Dry,13,8,5,,,,,Dry
WESTGATE,Sept-Dry,1,,1,,,,,Dry
WESTGATE,Sept-Dry,,,,,,,,Dry
WESTGATE,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
MEIBEI,Sept-Dry,,,,,,,,Dry
SNR,Sept-Dry,,,,,,,,Dry
SNR,Sept-Dry,,,,,,,,Dry
SNR,Sept-Dry,,,,,,,,Dry
