Date,Region,Season,Weather_Condition,Area,Area size (km^2),Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Time Frame,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
16/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/010a,SIMON,TEDDY,10:22AM,57815,3710745,58196,3712865,11:05AM,6am-9am,4,,,,,,,,,,,,,,,,,,,Partially protected
16/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/011a,SIMON,TEDDY,11:24AM,59232,3709191,59382,3711341,11:49AM,9am-12pm,4,,,,,,,,,,,,,,,,,,,Partially protected
24/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/012a,PETER,SIMON,1:11PM,100942,3709036,100805,3711189,1:51PM,12pm-3pm,4,,,,,,,,,,,,,,,,,,,Partially protected
25/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/014a,SIMON,PETER,10:32AM,59941,3708671,59748,3706523,11:31AM,3pm-6pm,4,1:12PM,1300,59860,3706520,OS,120,260,267,7,78.84,78.84,3,1,2,,,3,H,Partially protected
24/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/015a,PETER,SIMON,10:10AM,58415,3709939,58119,3707805,11:00AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
25/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/016a,PETER,SIMON,8:47AM,56963,3711409,56885,3709254,9:35AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
19/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/017a,PETER,SIMON,8:55AM,102799,3713561,100964,3714696,9:50AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
19/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/019a,SIMON,PETER,10:36AM,100725,3713172,58919,3714348,11:25AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
17/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/020a,SIMON,PETER,1:46PM,58812,3713381,57116,3714717,2:11PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
16/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/021a,SIMON,TEDDY,11:50AM,59898,3713120,59642,3710979,12:36PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
19/6/2014,MEIBEI,June- Dry,Dry,NK,,NK/022a,PETER,SIMON,12:09PM,101881,3713182,101384,3711085,12:51PM,,4,,,,,,,,,,,,,,,,,,,Partially protected
5/6/2014,MEIBEI,June- Dry,Dry,BAR,,BAR/023a,PETER,SIMON,11:00AM,54092,3706365,51930,3706429,11:46AM,,4,,,,,,,,,,,,,,,,,,,Partially protected
