Date,Region,Season,Weather_Condition,Area,Transect,Personel/Observers,Recorder,Start time,GPS Start E,GPS Start N,GPS End E,GPS End N,End time,Transect length,Time,ALT,GPSE,GPSN,Species,sighting distance,Sighting angle,Transect bearing,Adjusted angles,Perpendicular distance,AbsoluteDistance,Group size,Adult male,Adult females,Juveniles,chicks,Habitat,Activity,Habitat type
7/19/2014,WESTGATE,July-Dry,Dry,WG,WG/008b,PETER,SIMON,12:20:00,47441,3720007,47625,3717862,6:30:00,4,,,,,,,,,,,,,,,,,,,Partially protected
9/6/2014,WESTGATE,Sept-Dry,Dry,NG,WG/006c,PETER,SIMON,9:35:00,44674,3721235,44386,3723209,6:30:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/18/2014,WESTGATE,Nov-Wet,Wet,NG,WG/002d,SIMON,PETER,9:40:00,52230,3719027,52077,3721175,6:30:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/13/2014,WESTGATE,Dec-Wet,Wet,WG,WG/005e,PETER,SIMON,10:42:00,46560,3720478,46853,3721513,6:30:00,4,10:50:00,1074,3720920,466812,OS,110,2,71,69,-12.63,12.63,11,4,7,,,2,H,Partially protected
3/11/2015,WESTGATE,Feb-Dry,Dry,NG,WG/002f,SIMON,PETER,9:40:00,52230,3719027,52077,3721175,6:30:00,4,,,,,,,,,,,,,,,,,,,Partially protected
11/24/2014,WESTGATE,July-Dry,Dry,WG,WG/007b,SIMON,PETER,10:33:00,45652,3721059,45391,3718917,7:06:00,4,11:02:00,,45306,3719471,,88,174,272,98,-50.46,50.46,6,3,3,,,3,H,Partially protected
9/4/2014,WESTGATE,Sept-Dry,Dry,NG,WG/002c,SIMON,PETER,11:24:00,52230,3719027,52077,3721175,7:06:00,4,11:49:00,1181,52074,3721150,Ostr,184,340,106,234,183.78,183.78,1,,1,,,4,H,Partially protected
9/5/2014,WESTGATE,Sept-Dry,Dry,NG,WG/004c,SIMON,PETER,10:13:00,48303,3719422,48577,3721560,7:06:00,2,10:56:00,1093,48577,371560,Ostr,98,160,95,65,81.03,81.03,1,1,,,,4,H,Partially protected
9/9/2014,WESTGATE,Sept-Dry,Dry,WG,WG/008c,PETER,SIMON,10:50:00,47441,3720007,47625,3717862,7:06:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/21/2015,WESTGATE,Dec-Wet,Wet,WG,WG/003e,PETER,SIMON,10:38:00,50197,3718571,49867,3720703,7:06:00,4,,,,,,,,,,,,,,,,,,,Partially protected
12/14/2014,WESTGATE,Dec-Wet,Wet,WG,WG/008e,PETER,SIMON,12:20:00,47441,3720007,47625,3717862,7:06:00,4,,,,,,,,,,,,,,,,,,,Partially protected
7/15/2014,WESTGATE,July-Dry,Dry,NG,WG/005b,PETER,SIMON,10:42:00,46560,3720478,46853,3721513,7:20:00,4,,,,,,,,,,,,,,,,,,,Partially protected
